id	species	species_abbv	species_gp	S_SC_ST	SC	ST	plate_type	group_summary	group_summary_l2	virulence_score	esistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	mpA	mpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	AGly	C	Fcyn	Flq	Gly	MLS	Ntmdz	Phe	Rif	S	Te	Tg	Tm	Omp	B	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR	Amikacin_in	Amoxicillin_clavulanic_acid_in	Ampicillin_in	Aztreonam_in	Cefalexin_in	Cefepime_in	Cefixime_in	Cefotaxime_in	Cefoxitin_in	Ceftazidime_in	Ceftriaxone_in	Cefuroxime_in	Ciprofloxacin_in	Colistin_in	Ertapenem_in	Fosfomycin_G6P_in	Gentamicin_in	Imipenem_in	Levofloxacin_in	Mecillinam_in	Meropenem_in	Nalidixic_acid_in	Nitrofurantoin_in	Norfloxacin_in	Piperacillin_in	Piperacillin_tazobactam_in	Temocillin_in	Ticarcillin_clavulanic_acid_in	Tigecycline_in	Tobramycin_in	Trimethoprim_in	Trimethoprim_sulfamethoxazole_in	SAMPLE_DATE	ye	month	day	GROUP	ENVIRONMENTAL_GROUP	place_sampling	ORIGIN	specific_group	ASSOCIATED_GROUP	ASSOCIATED_SPECIES	GENERAL_ISOLATION_SOURCE	TYPE	IN_OUT	SAMPLE_TYPE	SAMPLE_DESCRIPTION	total_length	ncontigs	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
SPARK_1000_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC15_ST101	SC15	ST101	diagnostic	human - hospital disease	human	1	0.0	1.0	0.0	ybt 9; ICEKp3	183-2LV	-	0	-	0	-	0	-	-	wzi137	KL17	none	Very high	99.96%		O1v1	none	Very high	98.00%		ST101	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83Y;GyrA-87N;ParC-80I	-	-	-	-	-	-	-	-	-	OmpK35-17%	SHV-28*	-	-	-	-	-	S	S	ND	ND	ND	S	ND	S	ND	S	ND	ND	R	S	S	R	S	S	R	ND	ND	ND	ND	ND	ND	S	ND	ND	ND	S	ND	S	2018-01-02	2018.0	1.0	2.0	HUMAN			hospital	hospital_4	mammal	human	human	human hospital	inpatient	urine		5384732	24	224363.83	1168593	425	149	2	691632	3	594818	5	203084	8
SPARK_1001_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC4_ST45	SC4	ST45	diagnostic	human - hospital disease	human	0	1.0	8.0	11.0	-	0	-	0	-	0	-	0	-	-	-	KL24	?-	None	98.80%	KL24_04_wza,KL24_06_wzc,KL24_07_wcuD,KL24_08_wcuC,KL24_09_wcuV,KL24_10_wbaZ	O2v1	none	Very high	98.76%		ST45	-	-	-	-	-	-	-	-	-	Aac3-IIa^;StrA^;StrB	-	-	QnrB1?	-	-	-	CatB4	-	SulII	TetA	-	DfrA14	-	OXA-1;TEM-1D^	-	CTX-M-15	-	SHV-1?	-	S	S	ND	ND	ND	R	ND	R	ND	R	ND	ND	R	S	S	S	R	S	R	ND	ND	ND	ND	ND	ND	I	ND	ND	ND	R	ND	R	2018-01-02	2018.0	1.0	2.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	urine		5686906	68	83630.97	417031	321	115	3	274328	9	167751	14	58972	26
SPARK_1002_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC18_ST219	SC18	ST219	diagnostic	human - hospital disease	human	1	1.0	9.0	17.0	ybt unknown	0	-	0	-	0	-	0	-	-	wzi177	KL114	none	Very high	99.78%		O1v1	none	Very high	98.55%		ST219	-	-	-	-	-	-	-	-	-	Aac3-IIa^;AadA2^;Aph3-Ia^;StrA*;StrB*	-	-	Qnr-S1;QnrB1?	-	MphA	-	CatB4	-	SulI;SulII	TetA	-	DfrA12;DfrA14	-	OXA-1;TEM-1D^	-	CTX-M-15	-	-	SHV-26*	S	R	ND	ND	ND	R	ND	R	ND	R	ND	ND	R	R	S	S	R	S	R	ND	S	ND	ND	ND	ND	I	ND	ND	S	R	ND	R	2018-01-02	2018.0	1.0	2.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	bronchial		5696925	54	105498.61	767417	326	368	4	418030	6	264555	9	94960	15
SPARK_1003_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC1_ST307	SC1	ST307	diagnostic	human - hospital carriage	human	1	2.0	7.0	12.0	ybt 9; ICEKp3	157-1LV	-	0	-	0	-	0	-	-	wzi173	KL102	none	Very high	99.27%		O2v2	none	Very high	98.45%		ST307	-	-	-	-	-	-	-	-	-	Aac3-IIa^;StrA^;StrB	-	-	GyrA-83I;ParC-80I;QnrB1?	-	-	-	CatB4	-	SulII	-	-	DfrA14	-	OXA-1;OXA-9*;SHV-28^;TEM-1D^	KPC-2	CTX-M-15	-	-	-	S	R	R	ND	ND	R	ND	R	ND	R	ND	R	R	S	R	R	R	I	R	ND	R	ND	ND	ND	R	R	ND	ND	I	R	ND	R	2018-01-05	2018.0	1.0	5.0	HUMAN			hospital	hospital_1	mammal	human	human	human hospital	inpatient	rectal_swab		5773133	58	99536.78	660868	308	56	3	378138	6	214398	11	109110	17
SPARK_1004_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC3_ST512	SC3	ST512	diagnostic	human - hospital disease	human	0	2.0	8.0	10.0	-	0	-	0	-	0	-	0	-	-	wzi154	KL107	none	Very high	99.99%		O2v2	none	Very high	98.36%		ST512	-	-	-	-	-	-	-	-	-	Aac6-Ib;AadA2^;Aph3-Ia^	-	-	GyrA-83I;ParC-80I	-	MphA	-	CatA1^	-	SulI	-	-	DfrA12	OmpK35-25%;OmpK36GD	OXA-9*;TEM-1D^	KPC-3	-	-	SHV-11	-	R	R	ND	ND	ND	R	ND	R	ND	R	ND	R	R	S	R	S	I	R	R	ND	R	ND	ND	ND	R	R	ND	ND	I	R	ND	R	2018-01-05	2018.0	1.0	5.0	HUMAN			hospital	hospital_1	mammal	human	human	human hospital	inpatient	blood		5719905	67	85371.72	544204	393	556	3	270620	8	204831	13	65255	24
SPARK_1005_C1	Klebsiella oxytoca	K.oxy	K.oxy SPEC	K.oxy_SC9_NA	SC9		diagnostic	human - hospital disease	human	0	0.0	0.0	1.0	-	0	-	0	-	0	-	0	-	-	-	KL107	?-+*	None	75.99%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	OL104	+	None	98.88%			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY2-7*	-	-	-	-	-	S	S	R	ND	ND	S	ND	S	ND	S	ND	S	S	S	S	S	S	S	S	ND	S	ND	ND	ND	S	S	ND	ND	S	S	ND	S	2018-01-08	2018.0	1.0	8.0	HUMAN			hospital	hospital_1	mammal	human	human	human hospital	inpatient	bronchoalveolar_wash		5726549	42	136346.4	659226	428	4	1	262510	7	151718	12	97058	21
SPARK_1006_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC1_ST307	SC1	ST307	diagnostic	human - hospital carriage	human	1	2.0	2.0	3.0	ybt 9; ICEKp3	157-1LV	-	0	-	0	-	0	-	-	wzi173	KL102	?	Good	99.27%		O2v2	none	Very high	98.45%		ST307	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83I;ParC-80I	-	-	-	-	-	-	-	-	-	OmpK35-70%	OXA-9*;SHV-28^;TEM-1D^	KPC-3	-	-	-	-	S	R	R	ND	ND	R	ND	R	ND	R	ND	R	R	S	R	S	S	R	R	ND	R	ND	ND	ND	R	R	ND	ND	S	S	ND	S	2018-01-08	2018.0	1.0	8.0	HUMAN			hospital	hospital_1	mammal	human	human	human hospital	inpatient	rectal_swab		5411173	34	159152.15	677012	515	17	1	372284	6	226630	10	99733	17
SPARK_1007_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC3_ST512	SC3	ST512	diagnostic	human - hospital disease	human	0	2.0	7.0	8.0	-	0	-	0	-	0	-	0	-	-	wzi154	KL107	none	Very high	100.00%		O2v2	none	Very high	98.37%		ST512	-	-	-	-	-	-	-	-	-	Aac6-Ib;AadA2	-	-	GyrA-83I;ParC-80I	-	MphA	-	-	-	SulI	-	-	DfrA12	OmpK35-25%;OmpK36GD	OXA-9*;TEM-1D^	KPC-3	-	-	SHV-11	-	R	R	R	ND	ND	R	ND	R	ND	R	ND	R	R	R	R	S	S	R	R	ND	R	ND	ND	ND	R	R	ND	ND	I	R	ND	R	2018-01-03	2018.0	1.0	3.0	HUMAN			hospital	hospital_1	mammal	human	human	human hospital	inpatient	bronchoalveolar_wash		5732771	77	74451.57	544175	416	502	6	270636	8	157772	13	39657	26
SPARK_1008_C1	Klebsiella michiganensis	K.mic	K.oxy SPEC	K.mic_SC50_NA	SC50		SCAI	human - hospital carriage	human	0	0.0	1.0	2.0	-	0	-	0	-	0	-	0	-	-	-	KL107	-+*	None	75.98%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	O2v1	-+*	Good	72.42%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC		-	-	-	-	-	-	-	-	-	Aph3''Ia*?	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY1-1*	-	-	-	-	-	S	S	R	S	S	S	S	ND	ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	S	S	S	S	ND	S	S	S	S	S	2017-12-29	2017.0	12.0	29.0	HUMAN			hospital	hospital_4	mammal	human	human	human hospital	inpatient	feces		6436634	120	53638.62	369362	316	1176	5	182659	14	97203	23	31312	46
SPARK_1009_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC165_ST152	SC165	ST152	SCAI	human - hospital carriage	human	1	1.0	6.0	10.0	ybt 10; ICEKp4	91-2LV	-	0	-	0	-	0	-	-	wzi110	KL149	none	Very high	99.98%		O4	none	Very high	99.72%		ST152	-	-	-	-	-	-	-	-	-	Aac3-IIa^;StrA^;StrB	-	-	QnrB1	-	-	-	CatB4	-	SulII	-	-	DfrA14	-	OXA-1;SHV-187*;TEM-1D^	-	CTX-M-15	-	-	-	S	R	R	R	R	R	R	ND	ND	R	R	R	R	S	S	S	R	S	R	R	S	ND	S	R	R	R	ND	R	I	R	R	R	2018-01-02	2018.0	1.0	2.0	HUMAN			hospital	hospital_4	mammal	human	human	human hospital	inpatient	feces		5366357	28	191655.61	835942	412	0	0	477326	5	359383	7	129178	11
