filename	total_length	ncontigs	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
DRR057926.fasta	5502409	86	63981.50	468272	545	807	11	252506	9	125593	14	47994	28
DRR061405.fasta	5800332	112	51788.68	449085	520	1467	15	182105	12	108096	21	34888	37
DRR061406.fasta	5469291	69	79265.09	605196	512	1171	12	203589	9	143108	15	60974	26
DRR061407.fasta	5557166	98	56705.78	455442	500	975	10	168503	11	112435	18	43204	32
DRR061412.fasta	5391695	48	112326.98	748542	526	1383	14	458237	5	362888	8	86466	14
DRR061421.fasta	5566536	86	64727.16	341010	523	1474	15	203710	11	129805	18	49636	31
DRR061423.fasta	5892497	119	49516.78	376354	507	1478	15	187601	12	99401	22	29601	42
DRR061427.fasta	5898769	120	49156.41	432778	509	1661	17	189905	12	108893	20	30657	38
DRR065573.fasta	6624800	1279	5179.67	903723	500	887	18	281374	8	86617	17	937	264
DRR065574.fasta	5657808	94	60189.45	915219	525	199	2	367905	5	214534	10	41302	23
DRR065575.fasta	6008326	65	92435.78	679100	603	591	6	380597	6	191883	11	51795	23
DRR065576.fasta	6030999	75	80413.32	634526	549	604	7	329945	7	160960	12	68720	23
DRR065577.fasta	5610052	164	34207.63	483333	519	793	9	154211	12	81612	23	29322	47
DRR065578.fasta	5630877	114	49393.66	483925	519	790	8	189256	10	102362	17	40452	33
DRR065580.fasta	5429773	76	71444.38	612917	500	1077	11	277083	7	176708	13	50244	24
DRR065581.fasta	5628408	88	63959.18	513434	546	980	10	182020	11	113448	19	36920	36
DRR065582.fasta	5522088	74	74622.81	631841	536	591	6	228209	8	138054	14	64989	25
DRR065584.fasta	5684844	104	54661.96	472778	507	1172	12	265264	8	168925	14	41194	26
DRR065585.fasta	5681683	106	53600.78	557279	504	1085	11	268634	8	143594	13	38531	28
DRR065586.fasta	5532981	68	81367.37	484040	512	789	8	295373	8	174173	13	51364	25
DRR065587.fasta	5464576	80	68307.20	522925	500	788	8	193769	10	121522	17	49831	30
DRR065589.fasta	5337993	77	69324.58	520293	513	871	9	276535	7	139723	13	58988	25
DRR065590.fasta	5503310	74	74369.05	491997	540	1079	11	229921	9	170808	14	56967	25
DRR065591.fasta	5771614	53	108898.38	822981	531	1676	17	326239	6	214991	10	76183	18
DRR065592.fasta	5988077	111	53946.64	451145	505	394	4	186330	12	106262	20	46599	36
DRR065595.fasta	5795227	183	31667.91	239410	510	507	6	86785	22	51505	38	20392	74
DRR065596.fasta	5598934	97	57720.97	411125	516	887	9	209911	10	105389	18	44349	32
DRR065600.fasta	5514595	193	28573.03	267261	518	906	10	125791	15	80554	26	20205	51
DRR065601.fasta	5566451	150	37109.67	443277	500	880	9	231140	9	171360	15	34250	30
DRR065602.fasta	5745613	139	41335.35	443277	500	486	5	253237	9	164122	15	79623	25
DRR065603.fasta	5559567	183	30380.15	443996	501	500	5	211107	10	103991	18	30882	37
DRR065604.fasta	5752224	156	36873.23	443277	500	594	6	211365	10	116310	17	37147	32
DRR065605.fasta	5570632	127	43863.24	443277	500	895	10	231108	10	160455	15	46888	28
DRR065606.fasta	5567616	137	40639.53	443487	513	1083	11	238979	9	130760	15	35784	28
DRR065607.fasta	5648895	96	58842.66	400783	546	784	8	226359	10	162855	15	38531	30
DRR065608.fasta	5598604	63	88866.73	675363	522	890	9	256376	8	137218	14	82222	24
DRR065609.fasta	5600553	128	43754.32	418366	515	1087	11	180419	10	101876	18	39981	34
DRR065610.fasta	5581050	101	55257.92	586743	572	999	11	188870	10	121560	17	50875	29
DRR065611.fasta	5859797	115	50954.76	423680	516	881	9	202073	10	136499	17	37641	32
DRR065613.fasta	5715754	119	48031.55	487176	507	780	8	180477	10	141114	17	59086	28
DRR065615.fasta	5751505	123	46760.20	629080	521	1185	13	221375	8	129316	14	40834	28
DRR065618.fasta	5831069	84	69417.49	936184	575	791	8	351805	6	147331	11	56222	22
DRR065619.fasta	5560256	71	78313.46	484060	539	1083	11	255279	8	185401	13	77149	23
DRR065620.fasta	5785821	118	49032.38	443425	509	1224	15	210419	10	110154	17	49259	32
DRR065625.fasta	5704814	80	71310.18	485449	612	884	9	244547	8	138110	15	54444	26
DRR065626.fasta	5558675	52	106897.60	958634	500	885	9	459142	5	177606	9	67341	19
DRR065627.fasta	5558746	85	65397.01	315368	562	679	7	154135	12	108394	22	49985	37
DRR065628.fasta	5658438	264	21433.48	113976	509	976	17	44775	43	25319	77	11814	141
DRR065629.fasta	5596529	84	66625.35	436339	516	783	8	223288	9	109130	16	51137	30
DRR065630.fasta	5596756	85	65844.19	435473	531	683	7	198233	9	129466	16	51137	30
DRR065631.fasta	5493165	89	61720.96	412351	507	685	7	195048	10	99286	19	47310	35
DRR065632.fasta	5494226	76	72292.45	546976	511	984	10	318469	7	172523	12	37929	24
DRR065633.fasta	5729576	208	27546.04	443996	500	804	9	183607	12	102079	20	22069	41
DRR065634.fasta	5595558	202	27700.78	443325	502	899	10	211791	10	150873	16	22638	33
DRR065638.fasta	5521202	63	87638.13	594585	551	1379	14	372676	6	198602	10	71663	19
DRR065640.fasta	5506407	58	94938.05	606888	516	983	10	349805	6	198602	10	86469	18
DRR065641.fasta	5628407	60	93806.78	505758	517	675	7	273574	8	176082	13	85107	22
DRR065642.fasta	5512034	83	66410.05	632285	511	1086	11	293528	7	198630	11	66880	20
DRR065643.fasta	5525309	62	89117.89	606997	520	987	10	270255	7	172878	12	57683	23
DRR065644.fasta	5532782	56	98799.68	502526	545	493	5	266087	8	176566	13	79630	23
DRR065645.fasta	5576809	86	64846.62	387168	582	788	8	197160	10	165703	16	53401	28
DRR065647.fasta	5721868	106	53979.89	395920	540	983	10	213056	11	124015	18	34618	33
DRR065649.fasta	5435836	102	53292.51	367066	507	703	8	168951	12	104013	20	48195	33
DRR065650.fasta	5678989	86	66034.76	352740	593	1079	11	194464	10	102489	18	52774	33
DRR065652.fasta	6004365	127	47278.46	399534	508	602	7	171687	12	86471	23	37992	41
DRR065653.fasta	5842306	115	50802.66	562522	528	788	8	179064	11	111162	20	39867	36
DRR065654.fasta	5640928	161	35036.82	431026	508	791	8	172797	11	129852	19	41085	34
DRR065655.fasta	5641067	180	31339.26	416468	504	298	3	145144	12	81972	22	34591	42
DRR065656.fasta	5773580	137	42142.92	513177	501	988	11	202227	10	108461	17	40050	33
DRR065657.fasta	5802418	144	40294.57	513175	505	790	8	121705	14	71824	27	23548	53
DRR065658.fasta	5703782	252	22634.06	150750	509	398	4	63796	31	36882	53	16775	97
DRR065660.fasta	5583110	164	34043.35	329090	508	984	10	101333	18	61539	31	26283	57
DRR065661.fasta	5569228	144	38675.19	295721	508	786	8	139235	14	81613	24	25319	49
DRR067537.fasta	5573559	133	41906.46	267932	564	628	9	98973	17	62964	31	31167	54
DRR067538.fasta	5328273	106	50266.73	439143	564	548	10	162650	11	93705	19	28519	40
DRR067539.fasta	5553254	167	33253.02	316820	606	409	5	91124	19	47099	37	18935	72
DRR067540.fasta	5558252	177	31402.55	290363	564	537	9	65002	25	44420	45	20467	82
DRR076334.fasta	5782684	106	54553.62	351709	531	198	2	147734	13	92763	23	37734	43
DRR076945.fasta	5895608	210	28074.32	172014	501	618	53	64159	30	40633	52	15984	96
DRR076946.fasta	5821113	109	53404.71	227499	530	338	7	111810	17	84955	29	38412	48
DRR076947.fasta	5920634	96	61673.27	351485	600	707	8	169656	13	100729	22	47650	39
DRR076948.fasta	5920072	100	59200.72	352636	506	597	6	159855	14	94363	24	48209	39
DRR076949.fasta	5917868	211	28046.77	161814	540	9467	134	64400	31	41373	54	16492	97
DRR076950.fasta	5914888	147	40237.33	239527	516	739	20	94490	21	55046	38	24113	66
DRR076951.fasta	5924992	104	56971.08	586024	546	594	6	159204	12	100729	21	47881	38
DRR076952.fasta	5908078	99	59677.56	293342	550	1093	12	148088	14	92652	24	46070	41
DRR076953.fasta	5914615	140	42247.25	227747	514	643	20	103378	20	68600	33	26266	58
DRR076954.fasta	5916908	115	51451.37	403673	572	407	14	135095	15	86204	27	40634	47
DRR076955.fasta	5473138	55	99511.60	1250576	507	197	2	378354	5	239661	8	86564	15
DRR076956.fasta	5997354	121	49564.91	585516	520	298	3	178819	11	103390	20	46875	36
DRR076957.fasta	5926093	95	62379.93	585842	501	808	9	182499	11	101871	20	51516	36
DRR076958.fasta	5916600	98	60373.47	585853	501	220	4	225140	10	114642	17	50838	33
DRR076959.fasta	6004549	112	53612.04	585735	532	989	10	171232	12	103571	21	52130	36
DRR076960.fasta	5667522	104	54495.40	465237	516	498	5	207936	10	100411	18	52536	32
DRR076961.fasta	5721051	115	49748.27	585456	506	200	2	191506	9	130102	16	48972	30
DRR076962.fasta	5981512	132	45314.48	418937	505	612	8	153282	13	101485	23	40633	41
DRR076963.fasta	6000156	114	52632.95	585416	505	907	10	165131	12	101871	21	40652	38
DRR076964.fasta	5594035	77	72649.81	583909	539	297	3	281837	7	235221	11	61457	20
DRR076965.fasta	5569822	67	83131.67	819152	504	309	4	262309	7	145495	13	70957	23
DRR076966.fasta	5377431	42	128034.07	1098177	549	197	2	728978	3	233766	7	99441	13
DRR076967.fasta	5661201	118	47976.28	729735	500	393	4	266743	6	185705	11	40926	24
DRR076968.fasta	5625865	82	68608.11	712805	508	399	4	370066	6	292686	9	93210	16
DRR076969.fasta	5672043	107	53009.75	570301	517	488	13	142937	11	85323	22	42920	41
DRR076970.fasta	5672564	96	59089.21	712603	508	493	5	310749	7	226878	11	89240	19
DRR076971.fasta	5679453	140	40567.52	464980	541	160	7	125407	13	69461	26	25880	52
DRR098844.fasta	5835891	74	78863.39	750229	500	407	5	287601	7	216332	11	86431	19
DRR100992.fasta	5834436	150	38896.24	545197	532	415	6	135361	13	74984	26	35542	49
DRR100993.fasta	5820966	179	32519.36	315016	520	598	6	109438	18	66997	31	19832	62
DRR100996.fasta	5880707	227	25906.20	246926	511	986	10	83760	23	45435	42	15777	82
DRR101002.fasta	5857925	167	35077.40	329086	508	399	4	134692	14	86702	25	28905	46
DRR101006.fasta	5871935	162	36246.51	471560	509	496	5	120712	15	80590	26	26257	53
DRR101008.fasta	5764698	220	26203.17	264802	524	406	5	66217	26	41295	49	15820	94
DRR101011.fasta	5976914	237	25219.05	261617	501	394	4	91025	20	56511	37	13834	78
DRR111568.fasta	5579358	79	70624.78	633764	536	197	2	344539	7	233808	11	64071	20
DRR111571.fasta	5594357	69	81077.64	1253815	576	589	6	386599	5	214706	9	86568	19
DRR111575.fasta	5526628	45	122813.96	729007	509	592	6	430993	6	245742	9	91195	16
DRR111578.fasta	5759615	70	82280.21	1256919	507	389	4	385656	5	214609	9	71038	18
DRR111601.fasta	5607354	77	72822.78	628493	542	393	4	370914	5	238792	9	79149	18
DRR111602.fasta	5600974	66	84863.24	770900	542	788	8	350466	6	214751	10	78000	18
DRR111604.fasta	5468021	64	85437.83	1879651	509	195	2	434278	3	214609	6	98751	14
DRR111605.fasta	5602124	68	82384.18	771175	537	591	6	343626	6	204468	10	78000	18
DRR111606.fasta	5625813	76	74023.86	1253815	509	297	3	493170	4	214612	8	86569	16
DRR111610.fasta	5576108	75	74348.11	770417	542	488	5	254563	6	186434	11	78000	20
DRR120561.fasta	5437139	88	61785.67	933008	501	777	8	419873	5	354785	7	86537	13
DRR120564.fasta	5569000	86	64755.81	650988	529	1079	11	322152	6	262378	10	95222	18
DRR120566.fasta	5599688	92	60866.17	1403065	500	690	7	410419	4	319294	7	95222	14
DRR120567.fasta	5467962	50	109359.24	804375	551	1186	12	537224	5	294850	7	101313	14
DRR120570.fasta	5342503	86	62122.13	528505	505	195	2	161116	11	125556	18	37880	34
DRR120571.fasta	5467038	55	99400.69	805404	522	1274	13	456996	5	227712	8	101313	16
DRR120572.fasta	5405557	48	112615.77	999954	522	781	8	629560	4	373134	6	103815	11
DRR120573.fasta	5463829	57	95856.65	676331	522	786	8	428934	5	266778	8	103815	14
DRR120574.fasta	5525848	39	141688.41	1051013	551	389	4	607157	4	244876	6	101313	13
DRR120577.fasta	5484412	70	78348.74	705572	523	589	6	253193	8	225334	12	66714	22
DRR120580.fasta	5460059	64	85313.42	1498102	508	788	8	360871	4	252454	8	86552	17
DRR120581.fasta	5638875	72	78317.71	596339	529	688	7	272773	7	122156	14	76478	25
DRR120586.fasta	5539224	59	93885.15	1943602	551	490	5	361930	4	198650	8	101314	16
DRR120587.fasta	5466023	52	105115.83	1000196	538	486	5	450103	4	295525	7	101313	14
DRR120588.fasta	5746912	74	77660.97	750377	544	98	1	246610	8	134321	15	69117	26
DRR120589.fasta	5479734	54	101476.56	519514	546	490	5	299274	7	230613	11	101116	20
DRR120590.fasta	5650170	50	113003.40	1201523	510	583	6	482095	4	293459	7	86564	14
DRR120591.fasta	5519682	92	59996.54	1228626	500	966	10	375901	5	319295	8	95222	14
DRR120593.fasta	5757914	77	74778.10	537433	517	884	9	280024	7	165936	12	77317	23
DRR120596.fasta	5261354	57	92304.46	498526	514	786	8	350261	7	211497	11	86517	18
DRR120598.fasta	5696912	131	43487.88	488426	501	1475	15	245936	9	118748	16	51397	30
DRR120599.fasta	5471597	56	97707.09	705767	551	297	3	300593	6	196895	11	53855	21
DRR120601.fasta	5518290	55	100332.55	1325552	515	1659	17	287389	4	212958	9	101313	16
DRR120606.fasta	5494297	47	116899.94	1305109	551	1767	18	536856	4	266778	7	103815	13
DRR120610.fasta	5674737	104	54564.78	514620	510	0	0	283887	8	216577	12	71009	22
DRR120614.fasta	5639300	57	98935.09	566812	509	886	9	349859	7	274855	11	65481	20
DRR121780.fasta	5531914	106	52187.87	336128	503	4048	41	142133	13	76555	23	45718	42
DRR121791.fasta	5581398	152	36719.72	272051	551	4018	41	93534	21	47251	38	24206	70
DRR121794.fasta	5591614	37	151124.70	837522	501	395	4	479399	5	369400	7	166196	11
DRR121796.fasta	5562204	57	97582.53	957003	547	295	3	423231	4	338028	7	74123	15
DRR121797.fasta	5556935	82	67767.50	839531	536	396	4	255046	7	125019	12	67350	24
DRR121798.fasta	5549660	56	99101.07	1355871	547	583	6	426529	4	338377	7	67116	16
DRR121799.fasta	5541406	60	92356.77	957105	547	97	1	423242	5	232694	9	74123	18
DRR121811.fasta	5577558	97	57500.60	839375	600	785	8	194373	9	105717	16	34991	32
DRR121812.fasta	5865047	84	69821.99	1011140	501	1076	11	328751	6	161823	12	43885	25
DRR121813.fasta	5496461	60	91607.68	942736	569	296	3	386860	4	338104	7	74123	15
DRR121814.fasta	5510493	80	68881.16	456737	511	96	1	199137	10	118650	17	63861	28
DRR121815.fasta	5581618	68	82082.62	862451	511	1181	12	338351	5	182105	9	67144	20
DRR121816.fasta	5522199	47	117493.60	643462	542	492	5	370914	6	223462	10	100533	17
DRR121818.fasta	5461564	81	67426.72	596131	505	582	6	401938	6	345580	9	93829	13
DRR121819.fasta	5607108	38	147555.47	1863725	638	593	6	479892	3	378685	6	93405	10
DRR121820.fasta	5535159	56	98842.12	1295761	560	1073	11	355792	5	292101	8	60412	17
DRR121821.fasta	5678322	82	69247.83	484180	520	99	1	345635	7	146338	13	58812	25
DRR121822.fasta	5575173	88	63354.24	839183	536	204	3	233634	8	113671	15	56634	28
DRR121823.fasta	5737919	80	71723.99	1010560	501	492	5	338715	6	162797	11	44747	24
DRR121824.fasta	5763131	106	54369.16	953220	501	592	6	183898	7	132251	15	34437	31
DRR121825.fasta	5763608	87	66248.37	576452	520	394	4	328534	7	161819	13	43885	25
DRR121826.fasta	5766831	88	65532.17	576550	520	1078	11	328733	7	163225	13	44679	24
DRR121827.fasta	5541372	37	149766.81	748635	509	990	10	425638	5	305893	8	167832	13
DRR121829.fasta	5744690	76	75588.03	579981	501	293	3	328533	7	161823	13	44749	25
DRR121830.fasta	5536577	42	131823.26	729157	520	295	3	474704	5	245686	9	99441	15
DRR121831.fasta	5545813	74	74943.42	560937	569	1079	11	324049	7	292312	10	47013	22
DRR121832.fasta	5759082	85	67753.91	952863	519	394	4	191065	8	138468	15	46157	30
DRR121834.fasta	5763462	86	67017.00	575846	519	294	3	345635	7	163225	12	43885	25
DRR121835.fasta	5523624	50	110472.48	1033655	502	396	4	480012	5	359568	7	93442	11
DRR121836.fasta	5546137	77	72027.75	643983	547	1271	13	338248	7	292312	10	46273	23
DRR121837.fasta	5579428	72	77492.06	621197	547	679	7	352080	6	204910	10	59082	21
DRR121838.fasta	5620815	98	57355.26	382010	500	291	3	181337	11	110177	20	47111	35
DRR121839.fasta	5688085	94	60511.54	962387	518	971	10	383255	5	170996	10	51802	20
DRR121840.fasta	5622707	84	66936.99	674757	510	882	9	294668	7	229205	11	50693	19
DRR121841.fasta	5500327	76	72372.72	572226	536	95	1	259580	8	156369	14	54294	26
DRR121842.fasta	5502910	80	68786.38	560937	530	488	5	338337	7	174327	11	49316	24
DRR121843.fasta	5524715	75	73662.87	560937	560	488	5	355550	6	292634	10	46273	22
DRR121844.fasta	5544665	75	73928.87	560937	594	784	8	317755	7	203765	11	49316	23
DRR121845.fasta	5620304	104	54041.38	381791	524	885	9	172610	12	108718	21	47111	36
DRR121846.fasta	5493725	84	65401.49	561037	502	971	10	334613	7	174372	11	44855	25
DRR121847.fasta	5502492	78	70544.77	548780	511	191	2	234359	7	148034	13	75807	23
DRR121848.fasta	5553943	81	68567.20	473386	520	1173	12	294503	8	222128	12	93004	20
DRR121849.fasta	5596364	64	87443.19	1263114	509	973	10	345972	5	233778	9	93136	16
DRR121850.fasta	5567505	81	68734.63	560937	643	192	2	338107	7	292330	10	36880	25
DRR121851.fasta	5491066	51	107667.96	1250574	515	294	3	377933	5	267634	8	112242	14
DRR122210.fasta	5608311	69	81279.87	749882	548	491	5	355665	6	292634	9	74774	18
DRR122216.fasta	5541800	91	60898.90	671140	540	407	5	218294	8	146847	14	42175	27
DRR122218.fasta	5664384	142	39890.03	839321	506	599	7	239069	8	113671	14	42615	28
DRR122219.fasta	5578191	78	71515.27	817071	536	197	2	344539	6	212336	10	64070	19
